,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,
0,0.694444444,0.426470588,0.5,0.810810811,0.716216216,0.680555556,0.708333333,0.789473684,0.708333333,
1,0.597222222,0.5,0.555555556,0.905405405,0.783783784,0.680555556,0.722222222,0.855263158,0.722222222,
2,0.680555556,0.382352941,0.458333333,0.864864865,0.72972973,0.652777778,0.708333333,0.763157895,0.791666667,
3,0.652777778,0.441176471,0.513888889,0.932432432,0.675675676,0.708333333,0.847222222,0.776315789,0.763888889,
4,0.625,0.573529412,0.472222222,0.743243243,0.689189189,0.625,0.625,0.815789474,0.763888889,
5,0.638888889,0.529411765,0.597222222,0.878378378,0.743243243,0.722222222,0.777777778,0.789473684,0.680555556,
6,0.791666667,0.573529412,0.513888889,0.932432432,0.824324324,0.736111111,0.708333333,0.763157895,0.611111111,
7,0.583333333,0.514705882,0.541666667,0.797297297,0.824324324,0.736111111,0.611111111,0.802631579,0.763888889,
8,0.680555556,0.588235294,0.5,0.878378378,0.783783784,0.694444444,0.666666667,0.828947368,0.694444444,
9,0.652777778,0.470588235,0.569444444,0.797297297,0.72972973,0.541666667,0.611111111,0.815789474,0.680555556,
,0.659722222,0.5,0.522222222,0.854054054,0.75,0.677777778,0.698611111,0.8,0.718055556,0.686715883
