,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,
0,0.722222222,0.529411765,0.541666667,0.918918919,0.689189189,0.791666667,0.666666667,0.802631579,0.888888889,
1,0.805555556,0.514705882,0.5,0.918918919,0.72972973,0.736111111,0.708333333,0.802631579,0.736111111,
2,0.763888889,0.455882353,0.5,0.945945946,0.878378378,0.708333333,0.736111111,0.815789474,0.791666667,
3,0.708333333,0.514705882,0.472222222,0.932432432,0.783783784,0.75,0.736111111,0.802631579,0.791666667,
4,0.736111111,0.544117647,0.486111111,0.959459459,0.797297297,0.694444444,0.805555556,0.828947368,0.708333333,
5,0.722222222,0.529411765,0.527777778,0.972972973,0.864864865,0.652777778,0.555555556,0.828947368,0.805555556,
6,0.75,0.529411765,0.472222222,0.878378378,0.837837838,0.666666667,0.625,0.736842105,0.791666667,
7,0.819444444,0.514705882,0.513888889,0.905405405,0.918918919,0.833333333,0.75,0.75,0.819444444,
8,0.611111111,0.573529412,0.430555556,0.824324324,0.675675676,0.555555556,0.763888889,0.842105263,0.791666667,
9,0.680555556,0.588235294,0.541666667,0.932432432,0.864864865,0.75,0.736111111,0.776315789,0.694444444,
,0.731944444,0.529411765,0.498611111,0.918918919,0.804054054,0.713888889,0.708333333,0.798684211,0.781944444,0.720643463
